,Unnamed: 0,VaR_Hybrid_Final
1995,2016-03-15,-0.0208341618641395
1996,2016-03-16,-0.0205305321840214
1997,2016-03-17,-0.0202927382492959
1998,2016-03-18,-0.0200528369923599
1999,2016-03-21,-0.0198363368302309
2000,2016-03-22,-0.0195381354561094
2001,2016-03-23,-0.0192830582485828
2002,2016-03-24,-0.0194735884595666
2003,2016-03-28,-0.0190642789286962
2004,2016-03-29,-0.018874467339902
2005,2016-03-30,-0.0188067414032387
2006,2016-03-31,-0.0186600953315522
2007,2016-04-01,-0.0186428208797966
2008,2016-04-04,-0.0184824819044592
2009,2016-04-05,-0.0191909937607036
2010,2016-04-06,-0.0198278450917268
2011,2016-04-07,-0.0195011843720684
2012,2016-04-08,-0.0212065144042834
2013,2016-04-11,-0.0206289004768905
2014,2016-04-12,-0.0200136840300961
2015,2016-04-13,-0.0197080584022756
2016,2016-04-14,-0.0194858394885919
2017,2016-04-15,-0.0192091477904292
2018,2016-04-18,-0.0191623308911661
2019,2016-04-19,-0.0188948335655001
2020,2016-04-20,-0.0186962350278525
2021,2016-04-21,-0.0184639937598393
2022,2016-04-22,-0.0188975491687046
2023,2016-04-25,-0.0209289783936131
2024,2016-04-26,-0.020472781353287
2025,2016-04-27,-0.0199826131285005
2026,2016-04-28,-0.0196820746980689
2027,2016-04-29,-0.0222463465789769
2028,2016-05-02,-0.0216500582100355
2029,2016-05-03,-0.0209869645984354
2030,2016-05-04,-0.0216368912956501
2031,2016-05-05,-0.0223882612221685
2032,2016-05-06,-0.021647677930494
2033,2016-05-09,-0.0211225068944326
2034,2016-05-10,-0.0210790649842177
2035,2016-05-11,-0.0206167529770127
2036,2016-05-12,-0.02027051857205
2037,2016-05-13,-0.0203078382803204
2038,2016-05-16,-0.0199532899865043
2039,2016-05-17,-0.0196109881178042
2040,2016-05-18,-0.0197517880379134
2041,2016-05-19,-0.0194715310764282
2042,2016-05-20,-0.0195108392381705
2043,2016-05-23,-0.0192503761142483
2044,2016-05-24,-0.0190401873808297
2045,2016-05-25,-0.0188430284505405
2046,2016-05-26,-0.0186680231394822
2047,2016-05-27,-0.0185052567772444
2048,2016-05-31,-0.0183255217664661
2049,2016-06-01,-0.0182008953791244
2050,2016-06-02,-0.018096550844027
2051,2016-06-03,-0.0179398928359262
2052,2016-06-06,-0.018178792662854
2053,2016-06-07,-0.0180429303886244
2054,2016-06-08,-0.0178198246873817
2055,2016-06-09,-0.017626320571144
2056,2016-06-10,-0.0174344022102116
2057,2016-06-13,-0.0200650667953668
2058,2016-06-14,-0.0207202247848351
2059,2016-06-15,-0.0200929428059269
2060,2016-06-16,-0.0195388038624864
2061,2016-06-17,-0.0191368103397024
2062,2016-06-20,-0.0194831893213928
2063,2016-06-21,-0.0190929989849881
2064,2016-06-22,-0.0187583426996393
2065,2016-06-23,-0.0187476178569014
2066,2016-06-24,-0.0185092484203809
2067,2016-06-27,-0.0310081937989564
2068,2016-06-28,-0.0321934049727538
2069,2016-06-29,-0.0305554350365601
2070,2016-06-30,-0.0288145857275713
2071,2016-07-01,-0.0272645534467493
2072,2016-07-05,-0.0258910527235615
2073,2016-07-06,-0.0249711008806575
2074,2016-07-07,-0.0238303571951613
2075,2016-07-08,-0.0227933554874666
2076,2016-07-11,-0.0220506712560338
2077,2016-07-12,-0.021278090459913
2078,2016-07-13,-0.0206514522275369
2079,2016-07-14,-0.0200496798209824
2080,2016-07-15,-0.0195591110636584
2081,2016-07-18,-0.019363389025681
2082,2016-07-19,-0.018894389272568
2083,2016-07-20,-0.018560871295469
2084,2016-07-21,-0.018265272453203
2085,2016-07-22,-0.0187513328169803
2086,2016-07-25,-0.0183869090667731
2087,2016-07-26,-0.0191546468304845
2088,2016-07-27,-0.0186652824469745
2089,2016-07-28,-0.0183413020517831
2090,2016-07-29,-0.0180098986586294
2091,2016-08-01,-0.0176783432611191
2092,2016-08-02,-0.0181858155031711
2093,2016-08-03,-0.0190671149563577
2094,2016-08-04,-0.0185410541701303
2095,2016-08-05,-0.0180721492048629
2096,2016-08-08,-0.0177212363987714
2097,2016-08-09,-0.0173717147008201
2098,2016-08-10,-0.0170780595294961
2099,2016-08-11,-0.0179716888889726
2100,2016-08-12,-0.0175463711223599
2101,2016-08-15,-0.0171831729388682
2102,2016-08-16,-0.0167844299876064
2103,2016-08-17,-0.0171831308542751
2104,2016-08-18,-0.0169312062181081
2105,2016-08-19,-0.0167106208706687
2106,2016-08-22,-0.0169776257038495
2107,2016-08-23,-0.0167935651239488
2108,2016-08-24,-0.0168793912384135
2109,2016-08-25,-0.0180865612584582
2110,2016-08-26,-0.0179706186644688
2111,2016-08-29,-0.0176842441279281
2112,2016-08-30,-0.0174201008194161
2113,2016-08-31,-0.0174750038555802
2114,2016-09-01,-0.017482871903464
2115,2016-09-02,-0.0171559252752818
2116,2016-09-06,-0.0168676630819744
2117,2016-09-07,-0.0165963070890882
2118,2016-09-08,-0.0164893625305244
2119,2016-09-09,-0.0168598730478816
2120,2016-09-12,-0.031359139225344
2121,2016-09-13,-0.0293606946986382
2122,2016-09-14,-0.0296140699896793
2123,2016-09-15,-0.0276984102577579
2124,2016-09-16,-0.0261928619118513
2125,2016-09-19,-0.0249266656907334
2126,2016-09-20,-0.0244601426327631
2127,2016-09-21,-0.0230671274554446
2128,2016-09-22,-0.0227477499079547
2129,2016-09-23,-0.0213438791723176
2130,2016-09-26,-0.0211419032166095
2131,2016-09-27,-0.0212793835709155
2132,2016-09-28,-0.0204222200771736
2133,2016-09-29,-0.0196962745281571
2134,2016-09-30,-0.0203527075524911
2135,2016-10-03,-0.0196414971789414
2136,2016-10-04,-0.0191733202221919
2137,2016-10-05,-0.0197699228925817
2138,2016-10-06,-0.0191637148784652
2139,2016-10-07,-0.0188164000816485
2140,2016-10-10,-0.0185511734880878
2141,2016-10-11,-0.0182190486188914
2142,2016-10-12,-0.0195153527733866
2143,2016-10-13,-0.0190481139757213
2144,2016-10-14,-0.0192540473127932
2145,2016-10-17,-0.0188003127694918
2146,2016-10-18,-0.0185978814572918
2147,2016-10-19,-0.0182168086397996
2148,2016-10-20,-0.017843414233836
2149,2016-10-21,-0.0175078024577389
2150,2016-10-24,-0.0171831299415206
2151,2016-10-25,-0.0169728097758066
2152,2016-10-26,-0.0167130599557164
2153,2016-10-27,-0.0171336819264923
2154,2016-10-28,-0.0184935485389965
2155,2016-10-31,-0.0182088124724236
2156,2016-11-01,-0.0178595532904703
2157,2016-11-02,-0.0193825469918787
2158,2016-11-03,-0.0195746279339844
2159,2016-11-04,-0.0198475273132962
2160,2016-11-07,-0.0195818716986258
2161,2016-11-08,-0.0191447840442717
2162,2016-11-09,-0.0186813524611454
2163,2016-11-10,-0.0182696966399996
2164,2016-11-11,-0.0191655079102244
2165,2016-11-14,-0.0187189532739512
2166,2016-11-15,-0.0195221787323095
2167,2016-11-16,-0.0189939947183079
2168,2016-11-17,-0.0185123523987055
2169,2016-11-18,-0.0180908491337927
2170,2016-11-21,-0.0178304611474351
2171,2016-11-22,-0.0175082473405853
2172,2016-11-23,-0.0172084283561679
2173,2016-11-25,-0.0172618741037943
2174,2016-11-28,-0.0169789984396969
2175,2016-11-29,-0.0169811747211758
2176,2016-11-30,-0.016855323573419
2177,2016-12-01,-0.0168055363851065
2178,2016-12-02,-0.0187824107036846
2179,2016-12-05,-0.0183312651051338
2180,2016-12-06,-0.0179567994704864
2181,2016-12-07,-0.0176232464850355
2182,2016-12-08,-0.0173274255132838
2183,2016-12-09,-0.0170656879887986
2184,2016-12-12,-0.0167931304491185
2185,2016-12-13,-0.0172664976100206
2186,2016-12-14,-0.0169854713504069
2187,2016-12-15,-0.016841320506972
2188,2016-12-16,-0.0165950820945966
2189,2016-12-19,-0.0163990044198551
2190,2016-12-20,-0.0162987025509987
2191,2016-12-21,-0.0161295512904735
