,GARCH11_VaR_99,GJR_GARCH_VaR_99,Copula_VaR_99,EVT_VaR_99
2008-07-08,-0.02962787484221975,-0.03317683259112533,-0.020777084902748173,-0.03135340984511445
2008-07-09,-0.029154723039474837,-0.03154626445475985,-0.020777084902748173,-0.03135340984511445
2008-07-10,-0.029887658954679385,-0.03310534780336986,-0.020777084902748173,-0.03135340984511445
2008-07-11,-0.02921537263239653,-0.03148301744351786,-0.020777084902748173,-0.03135340984511445
2008-07-14,-0.02878160354374687,-0.030927601060709214,-0.020777084902748173,-0.03135340984511445
2008-07-15,-0.028173659041899893,-0.030113189406261304,-0.020777084902748173,-0.03135340984511445
2008-07-16,-0.02757434650588206,-0.02930280033538658,-0.020777084902748173,-0.03135340984511445
2008-07-17,-0.029050728279761743,-0.028530515098108025,-0.020777084902748173,-0.03135340984511445
2008-07-18,-0.02885287971795396,-0.027672390236317644,-0.020777084902748173,-0.03135340984511445
2008-07-21,-0.02823582704433022,-0.027271432188787966,-0.020777084902748173,-0.03135340984511445
2008-07-22,-0.027477247307555144,-0.02636607420304736,-0.020777084902748173,-0.03135340984511445
2008-07-23,-0.02682294242959448,-0.025487358270160614,-0.020777084902748173,-0.03135340984511445
2008-07-24,-0.026454998395645805,-0.024578183314710678,-0.020777084902748173,-0.03135340984511445
2008-07-25,-0.028274330061932303,-0.02862629185437299,-0.020777084902748173,-0.03135340984511445
2008-07-28,-0.027996505074181017,-0.027689106838715997,-0.020777084902748173,-0.03135340984511445
2008-07-29,-0.02844896218831101,-0.029013775229542772,-0.020777084902748173,-0.03135340984511445
2008-07-30,-0.028767317705796665,-0.02816791923062142,-0.020777084902748173,-0.03135340984511445
2008-07-31,-0.028381009451182136,-0.027246102889147607,-0.020777084902748173,-0.03135340984511445
2008-08-01,-0.028064290771587445,-0.027279122494328213,-0.020777084902748173,-0.03135340984511445
2008-08-04,-0.02769151104353252,-0.02705847928682987,-0.020777084902748173,-0.03135340984511445
2008-08-05,-0.027898726497459187,-0.027907306375838832,-0.020777084902748173,-0.03135340984511445
2008-08-06,-0.029786373260246284,-0.027317647220280905,-0.020777084902748173,-0.03135340984511445
2008-08-07,-0.029112650754768904,-0.026468287832224574,-0.020777084902748173,-0.03135340984511445
2008-08-08,-0.02839790224447974,-0.026041655093423453,-0.020777084902748173,-0.03135340984511445
2008-08-11,-0.028146221538284822,-0.025134284245443804,-0.020777084902748173,-0.03135340984511445
2008-08-12,-0.027360588309692343,-0.024347622777483743,-0.020777084902748173,-0.03135340984511445
2008-08-13,-0.02709380428718058,-0.024514020623613516,-0.020777084902748173,-0.03135340984511445
2008-08-14,-0.026859957566645373,-0.02392825429723725,-0.020777084902748173,-0.03135340984511445
2008-08-15,-0.026383109701489948,-0.023404993011437152,-0.020777084902748173,-0.03135340984511445
2008-08-18,-0.02579993290540755,-0.022754042470627053,-0.020777084902748173,-0.03135340984511445
2008-08-19,-0.02536482545520388,-0.02269664224486366,-0.020777084902748173,-0.03135340984511445
2008-08-20,-0.024919957378026953,-0.022141611758694925,-0.020777084902748173,-0.03135340984511445
2008-08-21,-0.025442680202959003,-0.021788525916332797,-0.020777084902748173,-0.03135340984511445
2008-08-22,-0.024966229046080413,-0.02140781767729951,-0.020777084902748173,-0.03135340984511445
2008-08-25,-0.024799267391538257,-0.021026285962557335,-0.020777084902748173,-0.03135340984511445
2008-08-26,-0.02580015389053217,-0.02328030397880623,-0.020777084902748173,-0.03135340984511445
2008-08-27,-0.025165444627570047,-0.02270992967449357,-0.020777084902748173,-0.03135340984511445
2008-08-28,-0.024845323247714404,-0.022476542192909066,-0.020777084902748173,-0.03135340984511445
2008-08-29,-0.02475866579418463,-0.022112587339219707,-0.020777084902748173,-0.03135340984511445
2008-09-02,-0.025860467468180916,-0.024199781620419986,-0.020777084902748173,-0.03135340984511445
2008-09-03,-0.025873710620989292,-0.02462361282185352,-0.020777084902748173,-0.03135340984511445
2008-09-04,-0.025396789075641555,-0.024192065314298825,-0.020777084902748173,-0.03135340984511445
2008-09-05,-0.026998435721303365,-0.027337670184583166,-0.020777084902748173,-0.03135340984511445
2008-09-08,-0.02641434511205114,-0.026406231272779523,-0.020777084902748173,-0.03135340984511445
2008-09-09,-0.026012221215325614,-0.025780524606400162,-0.020777084902748173,-0.03135340984511445
2008-09-10,-0.02911972966067595,-0.0315163999256802,-0.020777084902748173,-0.03135340984511445
2008-09-11,-0.028197042693692054,-0.02997770626841192,-0.020777084902748173,-0.03135340984511445
2008-09-12,-0.027719685318790065,-0.028812729666672827,-0.020777084902748173,-0.03135340984511445
2008-09-15,-0.027137686548719828,-0.027969610612770066,-0.020777084902748173,-0.03135340984511445
2008-09-16,-0.03938193230763988,-0.051256079150235105,-0.020777084902748173,-0.03135340984511445
2008-09-17,-0.03872949400934841,-0.04821296913787305,-0.020777084902748173,-0.03135340984511445
2008-09-18,-0.04617934719901806,-0.055772544944551986,-0.020777084902748173,-0.03135340984511445
2008-09-19,-0.05668708118387647,-0.0547979833241543,-0.020777084902748173,-0.03135340984511445
2008-09-22,-0.0646741361477551,-0.05313852184664085,-0.020777084902748173,-0.03135340984511445
2008-09-23,-0.06374966876845656,-0.05745910581821718,-0.020777084902748173,-0.03135340984511445
2008-09-24,-0.058835190974289804,-0.05543520496825814,-0.020777084902748173,-0.03135340984511445
2008-09-25,-0.052156151611730636,-0.050604111479057697,-0.020777084902748173,-0.03135340984511445
2008-09-26,-0.04969756271469464,-0.046937652990817695,-0.020777084902748173,-0.03135340984511445
2008-09-29,-0.044080302503497884,-0.042975578276377706,-0.020777084902748173,-0.03135340984511445
2008-09-30,-0.09724528067748019,-0.12065123840504667,-0.020777084902748173,-0.03135340984511445
2008-10-01,-0.10311016811051518,-0.11353341283553466,-0.020777084902748173,-0.03135340984511445
2008-10-02,-0.09111476464718128,-0.10430979243455595,-0.020777084902748173,-0.03135340984511445
2008-10-03,-0.09388323033600343,-0.1110896539689852,-0.020777084902748173,-0.03135340984511445
2008-10-06,-0.08557845625587619,-0.10510643360106336,-0.020777084902748173,-0.03135340984511445
2008-10-07,-0.08391241412255292,-0.10571829508134317,-0.020777084902748173,-0.03135340984511445
2008-10-08,-0.09227054876151512,-0.11797614527523742,-0.020777084902748173,-0.03135340984511445
2008-10-09,-0.08258526215723722,-0.10970067487956375,-0.020777084902748173,-0.03135340984511445
2008-10-10,-0.08976301885383631,-0.11951107127113852,-0.020777084902748173,-0.03135340984511445
2008-10-13,-0.08146814438985374,-0.11094112692615785,-0.020777084902748173,-0.03135340984511445
2008-10-14,-0.11376496816557795,-0.11052547434489936,-0.020777084902748173,-0.03135340984511445
2008-10-15,-0.10583866130277172,-0.1071252005617541,-0.020777084902748173,-0.03135340984511445
2008-10-16,-0.11822163275403495,-0.132528353502747,-0.020777084902748173,-0.03135340984511445
