Date,Hist,Param,GJR,EVT,Hybrid
2016-05-25,-0.07806007938498953,-0.07269887682665273,-0.041793070334382953,-0.0997681932088107,-0.06144615205392942
2016-05-26,-0.07806007938498953,-0.07270784415441682,-0.04144756187170263,-0.0997681932088107,-0.0613283801483981
2016-05-27,-0.07806007938498953,-0.07271867247081684,-0.04115397846105137,-0.0997681932088107,-0.06125068770842268
2016-05-31,-0.07806007938498953,-0.07272959683331492,-0.04091683913943774,-0.0997681932088107,-0.061213282900532115
2016-06-01,-0.07806007938498953,-0.07274015372822075,-0.04071632581286158,-0.0997681932088107,-0.06119992102825109
2016-06-02,-0.07806007938498953,-0.07275252154496943,-0.0405295523299839,-0.0997681932088107,-0.061189914156641705
2016-06-03,-0.07806007938498953,-0.07276443152120231,-0.040195481572156,-0.0997681932088107,-0.06101359520976933
2016-06-06,-0.07806007938498953,-0.0727710015026125,-0.03991510602613354,-0.0997681932088107,-0.06085061564556575
2016-06-07,-0.07806007938498953,-0.07279007089225861,-0.039650863527885924,-0.0997681932088107,-0.0606871078575765
2016-06-08,-0.07806007938498953,-0.07280680762711136,-0.03940009231737038,-0.0997681932088107,-0.06052751140344087
2016-06-09,-0.07806007938498953,-0.07282281757741836,-0.03915874177351818,-0.0997681932088107,-0.06037166271509207
2016-06-10,-0.07806007938498953,-0.07284340520758359,-0.038926275434414896,-0.0997681932088107,-0.06022080952581749
2016-06-13,-0.07806007938498953,-0.07285892094098444,-0.03890815901080571,-0.0997681932088107,-0.060209080229583586
2016-06-14,-0.07806007938498953,-0.0728793635195887,-0.038951478283725145,-0.0997681932088107,-0.0602372461601592
2016-06-15,-0.07806007938498953,-0.07290088246929816,-0.03897109928367744,-0.0997681932088107,-0.06025000306621266
2016-06-16,-0.07806007938498953,-0.07291854491417432,-0.03897271739552843,-0.0997681932088107,-0.06025105743168064
2016-06-17,-0.07806007938498953,-0.07294623241363196,-0.038960327235492295,-0.0997681932088107,-0.06024300673201493
2016-06-20,-0.07806007938498953,-0.07297660808536899,-0.0389542708086987,-0.0997681932088107,-0.060239071275382555
2016-06-21,-0.07806007938498953,-0.07300406481690022,-0.03895230125150357,-0.0997681932088107,-0.06023779177118954
2016-06-22,-0.07806007938498953,-0.07304079227289964,-0.03893678818578755,-0.0997681932088107,-0.06022769815439467
2016-06-23,-0.07806007938498953,-0.07305995638720228,-0.038923780626004365,-0.0997681932088107,-0.06021896500397555
2016-06-24,-0.07810591212972796,-0.0731019758543849,-0.03890259215371656,-0.0997681932088107,-0.06020124616292538
2016-06-27,-0.0781517448744664,-0.07314325945903999,-0.04527912330455072,-0.0997681932088107,-0.060883367823870965
2016-06-28,-0.07819757761920483,-0.07318257116176563,-0.046583480783359256,-0.0997681932088107,-0.06163152213078715
2016-06-29,-0.07824341036394326,-0.07320232498500875,-0.04769141462038164,-0.0997681932088107,-0.06226691164607895
2016-06-30,-0.0782892431086817,-0.0732192727858322,-0.04857200145640247,-0.0997681932088107,-0.06277189671343991
2016-07-01,-0.07833507585342012,-0.07323897695763032,-0.04933879097436007,-0.0997681932088107,-0.06321163892675305
2016-07-05,-0.07838090859815855,-0.07325246910238865,-0.04983484059944743,-0.0997681932088107,-0.06349611165845409
