Date,Regime 1 (Nervous),Regime 2 (Volatile),Regime 0 (Calm),Regime 3 (Crisis),StressFactor
2007-06-20,0.0015932680780540445,5.920589252993059e-07,0.9984061398645321,1.699213777471368e-14,0.0001756006969491595
2007-06-21,0.001255245861045881,1.252210812540396e-07,0.9987446289206241,1.2065838680079524e-13,0.00013813194263165266
2007-06-22,0.0010284935166456337,5.183523799168477e-08,0.9989714546507646,1.5361959880320938e-14,0.00011314744214497656
2007-06-25,0.0008348143203684886,3.907767023439976e-08,0.9991651466028159,3.5494260501092936e-15,9.18383748047609e-05
2007-06-26,0.0007832678681897216,2.5471590281636966e-08,0.9992167066576023,1.2252285138880501e-15,8.6160704559718e-05
2007-06-27,0.0002910170320903333,4.825357242363776e-09,0.9997089781408266,5.945345283302009e-16,3.200942600791504e-05
2007-06-28,0.000124304362896293,2.9700675173659657e-09,0.9998756926649578,9.715964951411585e-17,1.3673004338498203e-05
2007-06-29,7.329373239330193e-05,3.042756512064853e-09,0.9999267032268669,6.24298300865283e-17,8.062839813111873e-06
2007-07-02,6.236192442081292e-05,3.1611609879053325e-09,0.9999376349172154,6.346456433722104e-17,6.860620739333112e-06
2007-07-03,5.292535883471373e-05,2.502701022885953e-09,0.9999470721414739,5.4256395515038e-17,5.822363182807767e-06
2007-07-05,4.785665921046316e-05,2.265300208407298e-09,0.9999521410747939,4.064350045914468e-17,5.264752711703129e-06
2007-07-06,4.679701270594995e-05,2.3852671577997357e-09,0.9999532006005246,4.773353665394175e-17,5.148286731914949e-06
2007-07-09,4.8962575123801634e-05,3.145180393137055e-09,0.999951034280603,5.1482276904419184e-17,5.386934274359417e-06
2007-07-10,6.698959603882603e-05,3.5787193427737084e-09,0.9999330068271421,7.415606058430613e-17,7.3698393665772996e-06
2007-07-11,4.451998958919509e-05,2.952733208995708e-09,0.9999554770564002,7.383346988241655e-17,4.898212761062494e-06
2007-07-12,7.250253955573327e-05,3.4128601134404832e-09,0.999927494043976,3.668060796042961e-17,7.976055502478028e-06
2007-07-13,3.433260378601421e-05,1.0337885342531368e-09,0.9999656663640655,3.310057620198154e-17,3.776588884602244e-06
2007-07-16,2.5112813890481302e-05,1.0856621058953553e-09,0.9999748861034651,2.0845941666174956e-17,2.762617895453432e-06
2007-07-17,2.8290534775570298e-05,2.406220368373392e-09,0.9999717070605425,7.099497343327994e-17,3.1129353117069313e-06
2007-07-18,6.048923628085913e-05,9.907543870726636e-09,0.9999395008528774,3.7548603432401517e-16,6.658889660971714e-06
2007-07-19,0.00019344465190089042,4.38149746810851e-08,0.9998065115362765,2.566867205296637e-15,2.130274217764731e-05
2007-07-20,0.0010516065864118254,2.886488743292955e-07,0.9989481047620755,1.618654376772317e-14,0.00011583790691639902
2007-07-23,0.00417590338726842,1.4688915526028574e-06,0.995822627724354,2.2099981614731863e-13,0.00046019171292640567
2007-07-24,0.037555576369603466,2.7420007707055997e-05,0.9624170036207793,1.0398475885023582e-12,0.004147597146771232
2007-07-25,0.036699013299180384,4.81172545733152e-06,0.9632961749689379,9.840951941644135e-12,0.004039217881126205
