,Date,HistVaR_99,ParamVaR_T_99,GJR_GARCH_VaR_99,EVT_VaR_99,VaR_Hybrid_Final
725,2011-02-25,-0.0224392915976793,-0.0237955592567227,-0.0235957903815847,-0.0313534098451144,-0.0263075942189349
726,2011-02-28,-0.0224392915976793,-0.024000187048822,-0.0227514470822574,-0.0313534098451144,-0.0257582180973447
727,2011-03-01,-0.0224392915976793,-0.0239560949583658,-0.0216518384329685,-0.0313534098451144,-0.0250389724519973
728,2011-03-02,-0.0224392915976793,-0.0238526671601029,-0.0249671432199444,-0.0313534098451144,-0.0271973293768697
729,2011-03-03,-0.0224392915976793,-0.0236779890301782,-0.0244147729310443,-0.0313534098451144,-0.0268373326544651
730,2011-03-04,-0.0224392915976793,-0.0237829044534823,-0.0235358358412704,-0.0313534098451144,-0.0262616486514647
731,2011-03-07,-0.0224392915976793,-0.0237058041817499,-0.0229127620803224,-0.0313534098451144,-0.0258439392387383
732,2011-03-08,-0.0224392915976793,-0.0238678102518426,-0.0230396291739027,-0.0313534098451144,-0.0259043108122974
733,2011-03-09,-0.0224392915976793,-0.0238449445104951,-0.0221274959158404,-0.0313534098451144,-0.0251928349472645
734,2011-03-10,-0.0224392915976793,-0.0240268769628724,-0.0217073692553472,-0.0313534098451144,-0.0245346981111591
735,2011-03-11,-0.0224392915976793,-0.0239391664973351,-0.0271086527928858,-0.0313534098451144,-0.0283512403876545
736,2011-03-14,-0.0224392915976793,-0.0239128542087625,-0.0259336311672339,-0.0313534098451144,-0.0275073422473773
737,2011-03-15,-0.0224392915976793,-0.0240020263784166,-0.0250599297201387,-0.0313534098451144,-0.0268579495453416
738,2011-03-16,-0.0224392915976793,-0.0240987838964172,-0.0265364843037214,-0.0313534098451144,-0.0279111877228881
739,2011-03-17,-0.0224392915976793,-0.0239339959250709,-0.0296883178299297,-0.0313534098451144,-0.0301864317401057
740,2011-03-18,-0.0224392915976793,-0.0373133780898602,-0.0284007684464285,-0.0313534098451144,-0.029314397272746
741,2011-03-21,-0.0224392915976793,-0.0239187604362814,-0.0270840303636128,-0.0313534098451144,-0.0284375959179869
742,2011-03-22,-0.0224392915976793,-0.0240687881158489,-0.0259433452151475,-0.0313534098451144,-0.027708215858659
743,2011-03-23,-0.0224392915976793,-0.0241013150021238,-0.0249950450227147,-0.0313534098451144,-0.0271336517521574
744,2011-03-24,-0.0224392915976793,-0.0239150986592235,-0.0240441888358179,-0.0313534098451144,-0.0265517283794912
745,2011-03-25,-0.0224392915976793,-0.0239281253231239,-0.0230175153407621,-0.0313534098451144,-0.0259098853298573
746,2011-03-28,-0.0224392915976793,-0.0239715851802612,-0.0221758618522228,-0.0313534098451144,-0.0253771895011869
747,2011-03-29,-0.0224392915976793,-0.0239659702611231,-0.0213944641422653,-0.0313534098451144,-0.0248761918543891
748,2011-03-30,-0.0224392915976793,-0.0240059302474741,-0.020676950625249,-0.0313534098451144,-0.0244122834231362
749,2011-03-31,-0.0224392915976793,-0.0240168246141505,-0.0199920472442327,-0.0313534098451144,-0.0239680266004454
750,2011-04-01,-0.0224392915976793,-0.0373746340490981,-0.0191518711695028,-0.0313534098451144,-0.0234222269667155
751,2011-04-04,-0.0224392915976793,-0.0241393041577866,-0.0182288902694964,-0.0313534098451144,-0.0228223744040968
752,2011-04-05,-0.0224392915976793,-0.0241375487958895,-0.0174658442161442,-0.0313534098451144,-0.0223264291491777
753,2011-04-06,-0.0224392915976793,-0.0241486573991949,-0.016910108274276,-0.0313534098451144,-0.0219652088906023
754,2011-04-07,-0.0224392915976793,-0.0242424931273953,-0.0163529496743953,-0.0313534098451144,-0.0216030424921149
755,2011-04-08,-0.0224392915976793,-0.0241402353240133,-0.0157010944286111,-0.0313534098451144,-0.0211792534772842
756,2011-04-11,-0.0224392915976793,-0.0240847937306553,-0.0170757712242874,-0.0313534098451144,-0.0220728706060046
757,2011-04-12,-0.0224392915976793,-0.024197136051861,-0.0174841467109025,-0.0313534098451144,-0.0223383321152177
758,2011-04-13,-0.0224392915976793,-0.0242024979453288,-0.0178291993204837,-0.0313534098451144,-0.0225626478056574
759,2011-04-14,-0.0224392915976793,-0.0240916184025605,-0.0173487530614732,-0.0313534098451144,-0.0222503651286646
760,2011-04-15,-0.0224392915976793,-0.024060001129169,-0.0169769952321149,-0.0313534098451144,-0.0220087294596089
761,2011-04-18,-0.0224392915976793,-0.0240771352898737,-0.0165507128904796,-0.0313534098451144,-0.021731637105062
762,2011-04-19,-0.0224392915976793,-0.023996964723394,-0.0171455975569576,-0.0313534098451144,-0.0221183193223023
763,2011-04-20,-0.0224392915976793,-0.0238035873164093,-0.0167233432165785,-0.0313534098451144,-0.0218438474975195
764,2011-04-21,-0.0224392915976793,-0.0238702117569007,-0.0165943773489121,-0.0313534098451144,-0.021760028744184
765,2011-04-25,-0.0224392915976793,-0.0238618018878574,-0.0164240741579573,-0.0313534098451144,-0.0216493321783561
766,2011-04-26,-0.0224392915976793,-0.0236716732554884,-0.0162007340400111,-0.0313534098451144,-0.021504158261592
767,2011-04-27,-0.0224392915976793,-0.0236446052787837,-0.0160963044320519,-0.0313534098451144,-0.0214362815571644
768,2011-04-28,-0.0224392915976793,-0.0238129937813399,-0.0158700273761038,-0.0313534098451144,-0.0212892022210933
769,2011-04-29,-0.0224392915976793,-0.0236916671336816,-0.0157072133514241,-0.0313534098451144,-0.0211833726381029
770,2011-05-02,-0.0224392915976793,-0.023790549563025,-0.0154928524743379,-0.0313534098451144,-0.0210440289224419
771,2011-05-03,-0.0224392915976793,-0.0350539063904503,-0.0156500213426136,-0.0313534098451144,-0.0211461921852602
772,2011-05-04,-0.0224392915976793,-0.0234676338383396,-0.0156080646447625,-0.0313534098451144,-0.021118916274201
773,2011-05-05,-0.0224392915976793,-0.0230285245689538,-0.015622745420768,-0.0313534098451144,-0.0211284466114051
774,2011-05-06,-0.0224392915976793,-0.0227588595839255,-0.0158341477997213,-0.0313534098451144,-0.0212658734758839
775,2011-05-09,-0.0224392915976793,-0.0218025237197449,-0.0157454056089188,-0.0313534098451144,-0.0212081922081056
776,2011-05-10,-0.0224392915976793,-0.0217628771778405,-0.0163441119953396,-0.0313534098451144,-0.0215973508477224
777,2011-05-11,-0.0224392915976793,-0.021812809801077,-0.0159295667979177,-0.0313534098451144,-0.0213278614108514
778,2011-05-12,-0.0224392915976793,-0.0218681754744978,-0.0162526623151651,-0.0313534098451144,-0.021537815174507
779,2011-05-13,-0.0224392915976793,-0.0216924932551468,-0.0159550149058775,-0.0313534098451144,-0.0213429584233272
780,2011-05-16,-0.0224392915976793,-0.0216286246226822,-0.0176188056297848,-0.0313534098451144,-0.0224252963916399
781,2011-05-17,-0.0224392915976793,-0.0216824549708129,-0.017966239315805,-0.0313534098451144,-0.0226516565479395
782,2011-05-18,-0.0224392915976793,-0.0216093603248038,-0.0176389706674553,-0.0313534098451144,-0.0224389828434833
783,2011-05-19,-0.0221418544566677,-0.0206244893624765,-0.0174793261164771,-0.0313534098451144,-0.0223352223886627
784,2011-05-20,-0.0221418544566677,-0.0207103223161641,-0.0171825870667249,-0.0313534098451144,-0.0221423302575192
785,2011-05-23,-0.0221418544566677,-0.0207043834751709,-0.0171897908508494,-0.0313534098451144,-0.0221470036898683
786,2011-05-24,-0.0221418544566677,-0.0207337586179255,-0.0172577968994668,-0.0313534098451144,-0.0221912338776846
787,2011-05-25,-0.0221418544566677,-0.0207250248354994,-0.0169785097117841,-0.0313534098451144,-0.0220097015310875
788,2011-05-26,-0.0221418544566677,-0.020003659785576,-0.016789783147041,-0.0313534098451144,-0.0218870217624691
789,2011-05-27,-0.0221418544566677,-0.0199757735444317,-0.0172374811887378,-0.0313534098451144,-0.0221779534757175
790,2011-05-31,-0.0221418544566677,-0.0198431431324615,-0.0182016414739401,-0.0313534098451144,-0.0228040008904191
791,2011-06-01,-0.0221418544566677,-0.0200601938109198,-0.0171717115784928,-0.0313534098451144,-0.022130838459276
792,2011-06-02,-0.0221418544566677,-0.0200243871205471,-0.0181877433531297,-0.0313534098451144,-0.0227933928874061
793,2011-06-03,-0.0205232505524928,-0.0194117252536757,-0.0179608620379475,-0.0313534098451144,-0.022646154898506
794,2011-06-06,-0.0205232505524928,-0.019348376904147,-0.0183568489740946,-0.0313534098451144,-0.0229038274289316
795,2011-06-07,-0.0205232505524928,-0.0193468202808454,-0.0192107772039416,-0.0313534098451144,-0.0234601789336259
796,2011-06-08,-0.0205232505524928,-0.0193460991794418,-0.0186348209505908,-0.0313534098451144,-0.0230860986540563
797,2011-06-09,-0.0205232505524928,-0.0192127504385188,-0.0183935909452476,-0.0313534098451144,-0.0229294113425992
798,2011-06-10,-0.0205232505524928,-0.0192854350269054,-0.0183749290083863,-0.0313534098451144,-0.022917171545412
799,2011-06-13,-0.0205232505524928,-0.019338963010985,-0.0188580332448841,-0.0313534098451144,-0.0232313182143475
800,2011-06-14,-0.0205232505524928,-0.0189078117704992,-0.0183300159276465,-0.0313534098451144,-0.022888101110158
801,2011-06-15,-0.0205232505524928,-0.018907472930912,-0.0202382543949726,-0.0313534098451144,-0.0241283565968986
