Date,HistVaR_95,HistVaR_99,HistES_97.5,ParamVaR_Norm_95,ParamVaR_Norm_99,ParamES_Norm_97.5,ParamVaR_T_95,ParamVaR_T_99,ParamES_T_97.5,MCVaR_95,MCVaR_99,MC_ES_97.5
2022-12-16,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021996206898857486,-0.03086625437997074,-0.031015346860810453,-0.02173303427946031,-0.03208512255299975,-0.032542562964062244,-0.022037851646873188,-0.03082543373959735,-0.030957684198458242
2022-12-19,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.02199768576554609,-0.030868015507296037,-0.031017112732522816,-0.02173485503074754,-0.032085594189015604,-0.03254264490652135,-0.02191625495997155,-0.030819433076460727,-0.031045706633286346
2022-12-20,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021938486992612794,-0.030803075166400583,-0.030952075884296007,-0.02166187351221823,-0.03204332087530913,-0.03250912406985734,-0.02195186698135275,-0.030609756293760556,-0.03084172300356843
2022-12-21,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021924563854234917,-0.030777720633836575,-0.030926529206771976,-0.021641479808569113,-0.03203427481575418,-0.03250556241647611,-0.021828847525855566,-0.030717441522451813,-0.030838864323062144
2022-12-22,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.022099000079557583,-0.0309808567045266,-0.03113014767974391,-0.021839587791095766,-0.03217156225084973,-0.03262139463990452,-0.022222901416513948,-0.031044207747937574,-0.0311637349550101
2022-12-23,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.02210166739624187,-0.030982696540367498,-0.03113197360684621,-0.021842416985670965,-0.03217847962033364,-0.03262947842012628,-0.021981183825275873,-0.0308020987030982,-0.030959403156552594
2022-12-27,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.022158882119422806,-0.031026846790600197,-0.031175904262461532,-0.021903790493310024,-0.03227517693877485,-0.03273771353938646,-0.022086290910103067,-0.030859731752525064,-0.03100904253624291
2022-12-28,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.022209070508587152,-0.03108573789981316,-0.031234941651626758,-0.02196540430633382,-0.032295019300446384,-0.03274549912922761,-0.022332610389629172,-0.031042622442459325,-0.03122938738246121
2022-12-29,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.02220556681646844,-0.031112686721566356,-0.03126240233544728,-0.021972701136702393,-0.03222352261096505,-0.03264840307281861,-0.022229791119702306,-0.031023789119455917,-0.031158081927034436
2022-12-30,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.022197111515255483,-0.031104078907929468,-0.031253791958300366,-0.021962510116630776,-0.032214506137803064,-0.03263969566443561,-0.022095261743012178,-0.030847230444823678,-0.03102776815214887
2023-01-03,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.022206099445251322,-0.031113863833015572,-0.0312635902797043,-0.02197353910716971,-0.03222116777057824,-0.032645158292474136,-0.02221002721225359,-0.03123063646483492,-0.0312501242919904
2023-01-04,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.022206587322100332,-0.031116135612092123,-0.03126589204355931,-0.021974945536258297,-0.03221619236290136,-0.032638292841710825,-0.022101888220364144,-0.031028748431129356,-0.0312194462206367
2023-01-05,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.022243806806712285,-0.031154740251060617,-0.03130451996493974,-0.022019575230367548,-0.03225287333927508,-0.03267281240165798,-0.022087046649049088,-0.0310329540117648,-0.03120987086705946
2023-01-06,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.022120418352011173,-0.031039837980034592,-0.031189760334207325,-0.02189113963636772,-0.03212790232697961,-0.03254674569737276,-0.022066170971374623,-0.03066324667049353,-0.030781437513501576
2023-01-09,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.022113415476255113,-0.03103729927259733,-0.03118729666288807,-0.021884866868504032,-0.03210228227100636,-0.03251565090657416,-0.022101909239470613,-0.031184926986299683,-0.03133140396643853
2023-01-10,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.022093120535477826,-0.031022663396685086,-0.0311727559075512,-0.02186337099899353,-0.03205765143465473,-0.032464439944370524,-0.022081665605345763,-0.031006325543732713,-0.031162913603322517
2023-01-11,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.022083459981935158,-0.03103060183112718,-0.031180990155153764,-0.02185977901411241,-0.03199830196101893,-0.032388525661986904,-0.022140741642647125,-0.03094160397568372,-0.03103687910962364
2023-01-12,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.022080671845449134,-0.031023373908192785,-0.031173687605924816,-0.021854569443586158,-0.03200500484651954,-0.03239889497579828,-0.02212200046282751,-0.030932034714684295,-0.031049468111518506
2023-01-13,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.022074917957928132,-0.031023531375396,-0.031173944434325685,-0.021850672884408003,-0.03197905631451214,-0.03236667437492124,-0.022021003003138053,-0.031050051983537715,-0.03120961212833759
2023-01-17,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021974419277634966,-0.03090786171945164,-0.03105801977654493,-0.021731032344585996,-0.03191387147196576,-0.03231719108175236,-0.021940919871726597,-0.030737120434836483,-0.03080893247995005
2023-01-18,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.022030436370871386,-0.03097239023621164,-0.03112269135784335,-0.02179934483616177,-0.0319453554779865,-0.03233841552970152,-0.02212187914547474,-0.03113461334764324,-0.03129673579171994
2023-01-19,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021964720628081528,-0.030890670307274666,-0.031040702422024325,-0.021723675315183717,-0.03191088634707551,-0.032316878767521304,-0.02200467444456104,-0.031051337909952844,-0.031110327728661413
2023-01-20,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021911876349488733,-0.030852181451842178,-0.031002454860187732,-0.0216686936814445,-0.03182555672845412,-0.032221454787533715,-0.021951444519792186,-0.030964127804569225,-0.03101083940630251
2023-01-23,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021852314712532135,-0.030808611815404837,-0.030959154025809916,-0.021607058115093638,-0.03173937108264503,-0.03212623146310921,-0.02195935534067877,-0.030928950211388622,-0.031118750642436334
2023-01-24,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.0217425258797247,-0.030681550258885356,-0.030831802140153578,-0.02147536049642253,-0.03166850157484879,-0.03207297574486817,-0.021525990589404662,-0.030570483366384103,-0.030772621698360796
2023-01-25,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021747311606488608,-0.030686094925797616,-0.030836342755203503,-0.02148098045261748,-0.031674540393478064,-0.03207916341575154,-0.02182214248017426,-0.03076252860966029,-0.0308002979616881
