,Historical_ES,Parametric_T_ES,GJR_ES,EVT_ES_Static,Hybrid_HMM_ES
2013-03-11,-0.016455823978705056,-0.017253476060144605,-0.014831022350892962,-0.03325606440293696,-0.021279770244852027
2013-03-12,-0.016455823978705056,-0.017395678401676704,-0.014431911267511945,-0.03325606440293696,-0.02102034520248471
2013-03-13,-0.016455823978705056,-0.017465067171869436,-0.014189999621475121,-0.03325606440293696,-0.02086310514816665
2013-03-14,-0.016455823978705056,-0.017353543744011362,-0.013796676078694664,-0.03325606440293696,-0.020607443493008273
2013-03-15,-0.016455823978705056,-0.017329985802628397,-0.013489869634536607,-0.03325606440293696,-0.020408017415574974
2013-03-18,-0.016455823978705056,-0.017314027312171704,-0.013368177994119037,-0.03325606440293696,-0.020328920275106962
2013-03-19,-0.016455823978705056,-0.01743495887837681,-0.013017981478232759,-0.03325606440293696,-0.020101291495843696
2013-03-20,-0.016455823978705056,-0.01740944501692887,-0.01276838360747907,-0.03325606440293696,-0.019939054865833004
2013-03-21,-0.016455823978705056,-0.033956936568227666,-0.012424987671045244,-0.03325606440293696,-0.019715837220212293
2013-03-22,-0.016455823978705056,-0.017338047482018313,-0.013390023375309002,-0.03325606440293696,-0.020343123593044517
2013-03-25,-0.016455823978705056,-0.017337215779847644,-0.013071874326224378,-0.03325606440293696,-0.020136326446874457
2013-03-26,-0.016455823978705056,-0.017325041992807235,-0.012918296634031004,-0.03325606440293696,-0.020036504032814664
2013-03-27,-0.016455823978705056,-0.017379821169744562,-0.012533096686412375,-0.03325606440293696,-0.01978612622061424
2013-03-28,-0.016455823978705056,-0.01750302641785523,-0.012113194134836386,-0.03325606440293696,-0.019513189330075804
2013-04-01,-0.016455823978705056,-0.01748058753679034,-0.011816912062958177,-0.03325606440293696,-0.019320602626391046
2013-04-02,-0.016455823978705056,-0.017465526107659935,-0.013136627722041085,-0.03325606440293696,-0.020178421996007365
2013-04-03,-0.016455823978705056,-0.017423595193378705,-0.012661850756928099,-0.03325606440293696,-0.01986980402836814
2013-04-04,-0.016455823978705056,-0.01739145439478733,-0.015219046742775199,-0.03325606440293696,-0.021531994261465893
2013-04-05,-0.016455823978705056,-0.017445851004943193,-0.01460712244255668,-0.03325606440293696,-0.02113424398184494
2013-04-08,-0.016455823978705056,-0.017422541275310875,-0.0141313660904727,-0.03325606440293696,-0.020825002080932128
2013-04-09,-0.016455823978705056,-0.01729276059693395,-0.013680808692290084,-0.03325606440293696,-0.020532136312995154
2013-04-10,-0.016455823978705056,-0.017182683217833596,-0.013406296114037953,-0.03325606440293696,-0.02035369280536551
2013-04-11,-0.016455823978705056,-0.01719378552708443,-0.01323424883910942,-0.03325606440293696,-0.020241779444286505
2013-04-12,-0.016455823978705056,-0.01716263151730234,-0.013474863956678518,-0.03325606440293696,-0.02039647143324735
2013-04-15,-0.017908147871127527,-0.018025267846738184,-0.013984513304724694,-0.03325606440293696,-0.020699282996781136
2013-04-16,-0.017908147871127527,-0.01800092385101456,-0.03079372438732904,-0.03325606440293696,-0.031653858426361654
2013-04-17,-0.017949019004841058,-0.018015244802972175,-0.02918431964607623,-0.03325606440293696,-0.030606952903993703
2013-04-18,-0.017949019004841058,-0.018025024980677748,-0.033986948517095425,-0.03325606440293696,-0.03373126183255799
2013-04-19,-0.017949019004841058,-0.01802226662879616,-0.031595461471545655,-0.03325606440293696,-0.032176621658754796
2013-04-22,-0.017949019004841058,-0.017912060248558733,-0.029082548582536727,-0.03325606440293696,-0.030543238699412393
2013-04-23,-0.017949019004841058,-0.017814418168967654,-0.027469729313905997,-0.03325606440293696,-0.029494908889864457
2013-04-24,-0.017949019004841058,-0.017709148681397325,-0.026096090261137038,-0.03325606440293696,-0.02860202122011508
2013-04-25,-0.017949019004841058,-0.017642089919734247,-0.024928393854007903,-0.03325606440293696,-0.027843023342784923
2013-04-26,-0.017949019004841058,-0.032825937639551495,-0.02359870277688804,-0.03325606440293696,-0.026978706689458436
2013-04-29,-0.017949019004841058,-0.017525985952925763,-0.022313251852118316,-0.03325606440293696,-0.026143118282532973
2013-04-30,-0.017949019004841058,-0.01749517323055734,-0.021406553214485237,-0.03325606440293696,-0.02555368373215353
2013-05-01,-0.017949019004841058,-0.01746430337202718,-0.020492950698415086,-0.03325606440293696,-0.02495957583886146
2013-05-02,-0.017949019004841058,-0.017365079432433074,-0.0214855464919733,-0.03325606440293696,-0.02560498442940116
2013-05-03,-0.017949019004841058,-0.01738929705946951,-0.020627564079136525,-0.03325606440293696,-0.025047387540055067
2013-05-06,-0.017949019004841058,-0.01733556034413346,-0.019739268846424074,-0.03325606440293696,-0.024470007378957184
2013-05-07,-0.017949019004841058,-0.017365213876015632,-0.018922515659623895,-0.03325606440293696,-0.023939075791177194
2013-05-08,-0.017579505590877557,-0.01707587478819997,-0.018163047724917863,-0.03325606440293696,-0.023445399731512363
2013-05-09,-0.017579505590877557,-0.017070877299397713,-0.01713966796301289,-0.03325606440293696,-0.022780075102212714
2013-05-10,-0.017579505590877557,-0.017057064559916273,-0.017695052116355126,-0.03325606440293696,-0.023141218458942178
2013-05-13,-0.017579505590877557,-0.017067930000096945,-0.016959621373352905,-0.03325606440293696,-0.022663214792075836
